"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"SAD-aided","19","Linear",0.959987636948946,0.968431366700269,0.991281024095601,0.931851057203286,0.976647919763105,1.10910255807572,0.0828184631495415
"Unaided after-training","39","Linear",0.959813479620207,0.964118448079204,0.995534813727946,0.930713556046992,0.976838214884891,1.09424112619036,-0.0292223174470651
"Unaided no-training","32","Linear",0.958377278564819,0.965649121360862,0.992469477126645,0.926901292905546,0.976465379187793,1.03687263720331,0.117745834157819
"SAD-aided","24","Amended-linear",0.958370383018625,0.967513203429856,0.990550185383704,0.929479436107974,0.975575083748373,1.11835869499118,-0.0809551395845515
"Unaided after-training","10","Amended-linear",0.958188200828699,0.978961074312755,0.978780695137814,0.929231931329172,0.975447180408943,1.04593031210863,0.203326574522715
"Unaided after-training","6","Linear",0.958021152905473,0.982997093343367,0.974592050569604,0.929976660539185,0.974979380438129,1.01716483687261,0.227708206110671
"Unaided after-training","43","Amended-linear",0.957593195479794,0.979799011549159,0.977336355918287,0.929292269046594,0.974715069354861,1.09171006907564,-0.196657585988595
"Unaided after-training","36","Linear",0.956035420089397,0.970831390135738,0.984759485327032,0.926537549218617,0.973849587344839,1.13210351681288,0.124650702818027
"Unaided no-training","27","Amended-linear",0.955819603003298,0.973076742725489,0.982265386721858,0.929534647647252,0.972439800973081,1.187139839745,0.0812959516344741
"Unaided no-training","26","Linear",0.955675787284561,0.973459956875068,0.981730969553595,0.9249030562047,0.974008936131059,1.09072923408044,0.172252553712535
"Unaided no-training","41","Amended-linear",0.954989263578788,0.961292872512936,0.993442571858803,0.92086311534686,0.974593857308287,0.96606041024396,-0.109585854781645
"Unaided no-training","4","Linear",0.954919456319984,0.959517248286493,0.995208223745097,0.920551833408084,0.974616848388417,1.03243336257787,0.0927944959004068
"Unaided no-training","11","Amended-linear",0.954721297192093,0.960006510679396,0.994494606621404,0.920139440547114,0.974526903633516,0.979509854400317,0.103165460863718
"Unaided after-training","17","Linear",0.954453929476693,0.962959985284291,0.991166760885619,0.91994035209955,0.974288019854299,0.999740853121067,-0.13350600740059
